se,g,l,a,p,d,v
1.887755102,60655,zip,HDSZR,,2016,9.4
2.1683673469,60656,zip,HDSZR,,2016,12.3
2.3979591837,60657,zip,HDSZR,,2016,25.5
2.4744897959,60659,zip,HDSZR,,2016,24.2
3.4948979592,60660,zip,HDSZR,,2016,56.3
1.3010204082,60707,zip,HDSZR,,2016,7.7
3.8010204082,60827,zip,HDSZR,,2016,37.7
0.4081632653,1714000,place,HDSZR,,2016,46.0
3.5714285714,60601,zip,HDSZR,,2014,13.4
7.7806122449,60607,zip,HDSZR,,2014,106.0
1.862244898,60608,zip,HDSZR,,2014,27.5
2.5255102041,60609,zip,HDSZR,,2014,38.7
5.637755102,60612,zip,HDSZR,,2014,99.3
3.443877551,60616,zip,HDSZR,,2014,56.1
1.2755102041,60618,zip,HDSZR,,2014,13.4
2.8571428571,60619,zip,HDSZR,,2014,47.8
6.8112244898,60621,zip,HDSZR,,2014,147.7
3.6224489796,60622,zip,HDSZR,,2014,48.6
3.1887755102,60623,zip,HDSZR,,2014,81.2
5.3826530612,60624,zip,HDSZR,,2014,103.6
2.1173469388,60625,zip,HDSZR,,2014,33.3
1.3775510204,60632,zip,HDSZR,,2014,14.1
5.1530612245,60636,zip,HDSZR,,2014,95.4
1.6836734694,60641,zip,HDSZR,,2014,21.2
3.4693877551,60642,zip,HDSZR,,2014,15.9
2.0663265306,60647,zip,HDSZR,,2014,28.5
3.75,60654,zip,HDSZR,,2014,19.3
3.3418367347,60605,zip,HDSZR,,2014,24.1
3.3673469388,60610,zip,HDSZR,,2014,42.3
2.0408163265,60611,zip,HDSZR,,2014,12.0
2.7295918367,60613,zip,HDSZR,,2014,29.7
2.0663265306,60614,zip,HDSZR,,2014,23.2
2.6020408163,60615,zip,HDSZR,,2014,28.0
1.887755102,60617,zip,HDSZR,,2014,28.1
3.1887755102,60620,zip,HDSZR,,2014,69.4
4.9234693878,60626,zip,HDSZR,,2014,114.5
2.806122449,60628,zip,HDSZR,,2014,51.1
1.6581632653,60629,zip,HDSZR,,2014,27.4
1.5051020408,60630,zip,HDSZR,,2014,12.1
1.8367346939,60631,zip,HDSZR,,2014,9.8
8.3163265306,60633,zip,HDSZR,,2014,95.7
1.3265306122,60634,zip,HDSZR,,2014,13.0
3.6734693878,60637,zip,HDSZR,,2014,61.8
1.5051020408,60638,zip,HDSZR,,2014,12.4
2.1428571429,60639,zip,HDSZR,,2014,35.5
4.5153061224,60640,zip,HDSZR,,2014,139.2
2.4744897959,60643,zip,HDSZR,,2014,28.1
6.3265306122,60644,zip,HDSZR,,2014,179.3
3.2397959184,60645,zip,HDSZR,,2014,48.2
2.806122449,60646,zip,HDSZR,,2014,16.9
4.2091836735,60649,zip,HDSZR,,2014,83.2
3.3418367347,60651,zip,HDSZR,,2014,65.6
2.5,60652,zip,HDSZR,,2014,25.4
5.7397959184,60653,zip,HDSZR,,2014,99.5
1.6326530612,60655,zip,HDSZR,,2014,7.6
1.7091836735,60656,zip,HDSZR,,2014,7.7
2.1428571429,60657,zip,HDSZR,,2014,22.6
2.3979591837,60659,zip,HDSZR,,2014,22.0
3.75,60660,zip,HDSZR,,2014,65.8
1.5051020408,60707,zip,HDSZR,,2014,9.4
3.7755102041,60827,zip,HDSZR,,2014,36.1
0.4081632653,1714000,place,HDSZR,,2014,45.5
3.3928571429,60601,zip,HDSZR,,2013,12.9
5.0255102041,60607,zip,HDSZR,,2013,49.5
1.7346938776,60608,zip,HDSZR,,2013,24.0
2.9336734694,60609,zip,HDSZR,,2013,51.0
5.4846938776,60612,zip,HDSZR,,2013,95.2
3.2908163265,60616,zip,HDSZR,,2013,52.4
1.1479591837,60618,zip,HDSZR,,2013,11.0
3.1887755102,60619,zip,HDSZR,,2013,58.7
6.4285714286,60621,zip,HDSZR,,2013,132.2
3.6989795918,60622,zip,HDSZR,,2013,51.3
2.9591836735,60623,zip,HDSZR,,2013,70.5
5.306122449,60624,zip,HDSZR,,2013,100.4
2.2959183673,60625,zip,HDSZR,,2013,38.0
1.2755102041,60632,zip,HDSZR,,2013,13.1
5.2551020408,60636,zip,HDSZR,,2013,101.5
1.7346938776,60641,zip,HDSZR,,2013,21.5
2.9591836735,60642,zip,HDSZR,,2013,10.7
2.1683673469,60647,zip,HDSZR,,2013,33.6
5.8418367347,60654,zip,HDSZR,,2013,37.2
3.137755102,60605,zip,HDSZR,,2013,21.9
3.3418367347,60610,zip,HDSZR,,2013,39.6
1.6326530612,60611,zip,HDSZR,,2013,7.9
2.9336734694,60613,zip,HDSZR,,2013,33.9
1.9897959184,60614,zip,HDSZR,,2013,21.9
2.5765306122,60615,zip,HDSZR,,2013,26.3
1.9132653061,60617,zip,HDSZR,,2013,28.7
3.0102040816,60620,zip,HDSZR,,2013,63.7
4.8724489796,60626,zip,HDSZR,,2013,111.1
3.0867346939,60628,zip,HDSZR,,2013,62.3
1.7346938776,60629,zip,HDSZR,,2013,31.2
1.25,60630,zip,HDSZR,,2013,8.3
1.5306122449,60631,zip,HDSZR,,2013,6.7
8.9030612245,60633,zip,HDSZR,,2013,104.9
1.1734693878,60634,zip,HDSZR,,2013,10.7
4.1581632653,60637,zip,HDSZR,,2013,79.1
1.3520408163,60638,zip,HDSZR,,2013,10.2
1.9897959184,60639,zip,HDSZR,,2013,31.6
4.4387755102,60640,zip,HDSZR,,2013,137.3
2.6020408163,60643,zip,HDSZR,,2013,31.0
5.8418367347,60644,zip,HDSZR,,2013,152.5
3.1632653061,60645,zip,HDSZR,,2013,43.8
2.3469387755,60646,zip,HDSZR,,2013,13.5
4.387755102,60649,zip,HDSZR,,2013,88.7
3.137755102,60651,zip,HDSZR,,2013,57.5
2.0663265306,60652,zip,HDSZR,,2013,17.2
5.8673469388,60653,zip,HDSZR,,2013,104.6
2.0153061224,60655,zip,HDSZR,,2013,11.3
1.6581632653,60656,zip,HDSZR,,2013,7.6
2.5765306122,60657,zip,HDSZR,,2013,31.5
2.2448979592,60659,zip,HDSZR,,2013,20.0
3.5714285714,60660,zip,HDSZR,,2013,58.9
1.9897959184,60707,zip,HDSZR,,2013,16.5
4.4132653061,60827,zip,HDSZR,,2013,48.4
0.4081632653,1714000,place,HDSZR,,2013,45.1
4.1836734694,60601,zip,HDSZR,,2012,16.3
6.2244897959,60607,zip,HDSZR,,2012,66.9
1.9642857143,60608,zip,HDSZR,,2012,28.9
2.8571428571,60609,zip,HDSZR,,2012,48.1
5.4591836735,60612,zip,HDSZR,,2012,94.2
3.6989795918,60616,zip,HDSZR,,2012,65.2
1.25,60618,zip,HDSZR,,2012,12.3
3.3928571429,60619,zip,HDSZR,,2012,67.4
6.6326530612,60621,zip,HDSZR,,2012,139.2
3.6479591837,60622,zip,HDSZR,,2012,49.2
3.2653061224,60623,zip,HDSZR,,2012,84.5
5.1530612245,60624,zip,HDSZR,,2012,96.2
2.3724489796,60625,zip,HDSZR,,2012,41.1
1.2755102041,60632,zip,HDSZR,,2012,12.8
5.2806122449,60636,zip,HDSZR,,2012,100.2
1.7091836735,60641,zip,HDSZR,,2012,20.5
3.6479591837,60642,zip,HDSZR,,2012,14.6
2.0663265306,60647,zip,HDSZR,,2012,29.1
4.7448979592,60654,zip,HDSZR,,2012,32.3
3.2397959184,60605,zip,HDSZR,,2012,23.7
3.4693877551,60610,zip,HDSZR,,2012,41.4
1.9387755102,60611,zip,HDSZR,,2012,10.4
3.1887755102,60613,zip,HDSZR,,2012,40.6
2.4489795918,60614,zip,HDSZR,,2012,30.8
2.9336734694,60615,zip,HDSZR,,2012,34.5
2.1173469388,60617,zip,HDSZR,,2012,35.1
