,se,g,l,a,p,d,v
0,1.25,1714000,place,VRDIDR,AP,2017,2.5
0,1.581632653,1714000,place,VRDIDR,AP,2016,4.3
0,1.173469388,1714000,place,VRDIDR,AP,2015,2.1
0,0.943877551,1714000,place,VRDIDR,AP,2014,1.6
0,0.357142857,1714000,place,VRDIDR,AP,2013,0.4
0,1.25,1714000,place,VRDIDR,AP,2012,2.4
0,1.12244898,1714000,place,VRDIDR,AP,2011,1.7
0,,1714000,place,VRDIDR,AP,2010,0.0
0,1.071428571,1714000,place,VRDIDR,AP,2009,1.9
0,1.147959184,1714000,place,VRDIDR,AP,2008,2.5
0,0.612244898,1714000,place,VRDIDR,AP,2007,0.7
0,,1714000,place,VRDIDR,AP,2006,0.0
0,1.198979592,1714000,place,VRDIDR,AP,2005,2.1
0,1.224489796,1714000,place,VRDIDR,AP,2004,1.7
0,0.56122449,1714000,place,VRDIDR,AP,2003,0.8
0,,1714000,place,VRDIDR,AP,2002,0.0
0,0.816326531,1714000,place,VRDIDR,AP,2001,0.9
0,,1714000,place,VRDIDR,AP,2000,0.0
0,4.0936607787,1714000,place,VRDIDR,H,2020,30.3
0,3.1,1714000,place,VRDIDR,H,2019,16.9
0,3.6,1714000,place,VRDIDR,H,2018,17.6
0,1.556122449,1714000,place,VRDIDR,H,2017,16.8
0,1.556122449,1714000,place,VRDIDR,H,2016,16.5
0,1.096938776,1714000,place,VRDIDR,H,2015,8.6
0,0.994897959,1714000,place,VRDIDR,H,2014,7.1
0,1.147959184,1714000,place,VRDIDR,H,2013,8.9
0,1.045918367,1714000,place,VRDIDR,H,2012,7.6
0,0.663265306,1714000,place,VRDIDR,H,2011,3.2
0,0.943877551,1714000,place,VRDIDR,H,2010,6.0
0,0.969387755,1714000,place,VRDIDR,H,2009,6.1
0,0.994897959,1714000,place,VRDIDR,H,2008,6.8
0,1.045918367,1714000,place,VRDIDR,H,2007,7.2
0,1.173469388,1714000,place,VRDIDR,H,2006,9.1
0,1.045918367,1714000,place,VRDIDR,H,2005,7.3
0,1.020408163,1714000,place,VRDIDR,H,2004,5.9
0,0.841836735,1714000,place,VRDIDR,H,2003,4.9
0,1.071428571,1714000,place,VRDIDR,H,2002,7.4
0,1.12244898,1714000,place,VRDIDR,H,2001,7.3
0,1.020408163,1714000,place,VRDIDR,H,2000,6.8
0,0.2786305049,1714000,place,VRDIDR,C,2020,0.5
0,,1714000,place,VRDIDR,C,2019,0.2
0,,1714000,place,VRDIDR,C,2018,0.5
0,2.02148102,1714000,place,VRDIDR,G,2020,23.6
0,,1714000,place,VRDIDR,G,2019,13.0
0,,1714000,place,VRDIDR,G,2018,13.0
0,2.8000305183,1714000,place,VRDIDR,K,2020,48.4
0,,1714000,place,VRDIDR,K,2019,33.2
0,,1714000,place,VRDIDR,K,2018,34.7
0,4.3058960305,1714000,place,VRDIDR,N,2020,111.5
0,,1714000,place,VRDIDR,N,2019,88.1
0,,1714000,place,VRDIDR,N,2018,74.6
0,3.8416153059,1714000,place,VRDIDR,S,2020,41.0
0,,1714000,place,VRDIDR,S,2019,26.6
0,,1714000,place,VRDIDR,S,2018,17.3
