se,g,l,a,p,d,v
1.5051020408,60660,zip,HDDRR,,2016,10.5
2.2193877551,60707,zip,HDDRR,,2016,20.9
3.2142857143,60827,zip,HDDRR,,2016,28.1
0.3826530612,1714000,place,HDDRR,,2016,37.4
60.433673469,60604,zip,HDDRR,,2014,306.4
5.0510204082,60607,zip,HDDRR,,2014,45.8
1.8367346939,60608,zip,HDDRR,,2014,25.0
2.7040816327,60609,zip,HDDRR,,2014,42.8
7.0663265306,60612,zip,HDDRR,,2014,147.4
2.0153061224,60616,zip,HDDRR,,2014,19.6
1.4540816327,60618,zip,HDDRR,,2014,17.2
2.8826530612,60619,zip,HDDRR,,2014,55.4
5.8673469388,60621,zip,HDDRR,,2014,112.5
3.3418367347,60622,zip,HDDRR,,2014,43.0
2.6020408163,60623,zip,HDDRR,,2014,51.2
6.9132653061,60624,zip,HDDRR,,2014,169.4
0.9948979592,60625,zip,HDDRR,,2014,7.6
0.943877551,60632,zip,HDDRR,,2014,6.8
4.5663265306,60636,zip,HDDRR,,2014,81.1
1.2755102041,60641,zip,HDDRR,,2014,12.0
3.1632653061,60642,zip,HDDRR,,2014,14.0
2.1173469388,60647,zip,HDDRR,,2014,33.4
2.806122449,60654,zip,HDDRR,,2014,10.0
3.443877551,60605,zip,HDDRR,,2014,25.1
2.806122449,60610,zip,HDDRR,,2014,29.3
1.4030612245,60611,zip,HDDRR,,2014,5.9
1.3775510204,60613,zip,HDDRR,,2014,8.1
1.4795918367,60614,zip,HDDRR,,2014,10.9
3.137755102,60615,zip,HDDRR,,2014,38.3
2.0408163265,60617,zip,HDDRR,,2014,33.9
2.2959183673,60620,zip,HDDRR,,2014,38.5
2.6275510204,60626,zip,HDDRR,,2014,33.9
2.3979591837,60628,zip,HDDRR,,2014,41.7
1.556122449,60629,zip,HDDRR,,2014,23.0
1.2755102041,60630,zip,HDDRR,,2014,8.6
2.4744897959,60631,zip,HDDRR,,2014,15.2
1.3265306122,60634,zip,HDDRR,,2014,13.1
4.2602040816,60637,zip,HDDRR,,2014,80.2
1.7091836735,60638,zip,HDDRR,,2014,15.9
2.193877551,60639,zip,HDDRR,,2014,38.8
2.0663265306,60640,zip,HDDRR,,2014,29.3
1.862244898,60643,zip,HDDRR,,2014,17.7
6.1989795918,60644,zip,HDDRR,,2014,181.1
1.862244898,60645,zip,HDDRR,,2014,15.5
2.5255102041,60646,zip,HDDRR,,2014,13.5
3.6479591837,60649,zip,HDDRR,,2014,68.5
4.4132653061,60651,zip,HDDRR,,2014,114.0
1.862244898,60652,zip,HDDRR,,2014,15.4
4.6683673469,60653,zip,HDDRR,,2014,66.1
1.8112244898,60655,zip,HDDRR,,2014,8.8
1.556122449,60656,zip,HDDRR,,2014,6.4
1.5306122449,60657,zip,HDDRR,,2014,11.8
1.4540816327,60659,zip,HDDRR,,2014,8.3
1.8112244898,60660,zip,HDDRR,,2014,14.8
2.1683673469,60707,zip,HDDRR,,2014,20.4
3.7755102041,60827,zip,HDDRR,,2014,37.5
0.3826530612,1714000,place,HDDRR,,2014,37.1
61.760204082,60604,zip,HDDRR,,2013,227.5
3.1632653061,60607,zip,HDDRR,,2013,19.0
1.7602040816,60608,zip,HDDRR,,2013,21.7
2.1173469388,60609,zip,HDDRR,,2013,25.5
6.0714285714,60612,zip,HDDRR,,2013,110.5
2.0153061224,60616,zip,HDDRR,,2013,20.0
1.4030612245,60618,zip,HDDRR,,2013,14.5
2.3979591837,60619,zip,HDDRR,,2013,39.1
5.3826530612,60621,zip,HDDRR,,2013,96.8
2.9336734694,60622,zip,HDDRR,,2013,32.5
2.6020408163,60623,zip,HDDRR,,2013,51.9
6.9387755102,60624,zip,HDDRR,,2013,170.4
1.0204081633,60625,zip,HDDRR,,2013,7.2
0.9183673469,60632,zip,HDDRR,,2013,6.4
4.4387755102,60636,zip,HDDRR,,2013,76.3
1.25,60641,zip,HDDRR,,2013,11.3
3.4183673469,60642,zip,HDDRR,,2013,16.9
1.8112244898,60647,zip,HDDRR,,2013,23.5
1.887755102,60654,zip,HDDRR,,2013,6.3
2.6020408163,60605,zip,HDDRR,,2013,14.5
2.2959183673,60610,zip,HDDRR,,2013,20.9
4.1836734694,60611,zip,HDDRR,,2013,10.6
1.4795918367,60613,zip,HDDRR,,2013,9.4
1.1989795918,60614,zip,HDDRR,,2013,7.6
3.0102040816,60615,zip,HDDRR,,2013,35.3
1.7602040816,60617,zip,HDDRR,,2013,25.1
2.0918367347,60620,zip,HDDRR,,2013,31.1
2.2193877551,60626,zip,HDDRR,,2013,24.9
1.9642857143,60628,zip,HDDRR,,2013,29.1
1.4795918367,60629,zip,HDDRR,,2013,20.5
1.25,60630,zip,HDDRR,,2013,8.4
2.1428571429,60631,zip,HDDRR,,2013,10.5
1.4030612245,60634,zip,HDDRR,,2013,13.7
3.8010204082,60637,zip,HDDRR,,2013,65.2
1.1989795918,60638,zip,HDDRR,,2013,7.9
1.862244898,60639,zip,HDDRR,,2013,28.0
2.1173469388,60640,zip,HDDRR,,2013,30.0
1.4030612245,60643,zip,HDDRR,,2013,9.7
5.6887755102,60644,zip,HDDRR,,2013,152.2
1.25,60645,zip,HDDRR,,2013,7.0
