,se,g,l,a,p,d,v
0,1.198979592,1714000,place,VRSUR,H,2014,7.5
0,0.816326531,1714000,place,VRSUR,H,2013,4.8
0,0.739795918,1714000,place,VRSUR,H,2012,3.9
0,0.714285714,1714000,place,VRSUR,H,2011,3.6
0,0.892857143,1714000,place,VRSUR,H,2010,4.1
0,0.867346939,1714000,place,VRSUR,H,2009,3.9
0,0.943877551,1714000,place,VRSUR,H,2008,3.7
0,0.663265306,1714000,place,VRSUR,H,2007,3.1
0,0.637755102,1714000,place,VRSUR,H,2006,2.6
0,0.816326531,1714000,place,VRSUR,H,2005,3.7
0,0.969387755,1714000,place,VRSUR,H,2004,4.8
0,0.816326531,1714000,place,VRSUR,H,2003,4.5
0,1.020408163,1714000,place,VRSUR,H,2002,5.8
0,0.943877551,1714000,place,VRSUR,H,2001,4.7
0,0.739795918,1714000,place,VRSUR,H,2000,3.7
0,0.5087073758,1714000,place,VRSUR,C,2020,1.6
0,,1714000,place,VRSUR,C,2019,0.3
0,,1714000,place,VRSUR,C,2018,1.4
0,1.3201224315,1714000,place,VRSUR,G,2020,10.1
0,,1714000,place,VRSUR,G,2019,7.5
0,,1714000,place,VRSUR,G,2018,9.4
0,1.2117727562,1714000,place,VRSUR,K,2020,9.1
0,,1714000,place,VRSUR,K,2019,8.6
0,,1714000,place,VRSUR,K,2018,9.6
0,1.3401671163,1714000,place,VRSUR,N,2020,10.8
0,,1714000,place,VRSUR,N,2019,13.6
0,,1714000,place,VRSUR,N,2018,9.3
0,2.217957631,1714000,place,VRSUR,S,2020,13.7
0,,1714000,place,VRSUR,S,2019,11.5
0,,1714000,place,VRSUR,S,2018,8.3
