,se,g,l,a,p,d,v
0,1.071428571,1714000,place,VRHOR,H,2015,9.2
0,0.918367347,1714000,place,VRHOR,H,2014,7.4
0,0.969387755,1714000,place,VRHOR,H,2013,8.1
0,0.994897959,1714000,place,VRHOR,H,2012,8.6
0,0.994897959,1714000,place,VRHOR,H,2011,8.4
0,0.918367347,1714000,place,VRHOR,H,2010,7.2
0,0.969387755,1714000,place,VRHOR,H,2009,9.0
0,1.096938776,1714000,place,VRHOR,H,2008,10.4
0,1.12244898,1714000,place,VRHOR,H,2007,9.4
0,0.994897959,1714000,place,VRHOR,H,2006,8.9
0,1.12244898,1714000,place,VRHOR,H,2005,9.8
0,1.045918367,1714000,place,VRHOR,H,2004,9.3
0,1.301020408,1714000,place,VRHOR,H,2003,11.8
0,1.198979592,1714000,place,VRHOR,H,2002,11.6
0,1.25,1714000,place,VRHOR,H,2001,13.6
0,1.275510204,1714000,place,VRHOR,H,2000,12.3
0,1.0791313052,1714000,place,VRHOR,C,2020,7.2
0,,1714000,place,VRHOR,C,2019,4.2
0,,1714000,place,VRHOR,C,2018,6.0
0,3.20093904,1714000,place,VRHOR,G,2020,59.1
0,,1714000,place,VRHOR,G,2019,40.6
0,,1714000,place,VRHOR,G,2018,41.8
0,2.5397719608,1714000,place,VRHOR,K,2020,39.8
0,,1714000,place,VRHOR,K,2019,21.9
0,,1714000,place,VRHOR,K,2018,23.8
0,1.3504367463,1714000,place,VRHOR,N,2020,11.0
0,,1714000,place,VRHOR,N,2019,8.6
0,,1714000,place,VRHOR,N,2018,10.5
0,1.0794007167,1714000,place,VRHOR,S,2020,3.2
0,,1714000,place,VRHOR,S,2019,2.2
0,,1714000,place,VRHOR,S,2018,7.2
